LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
103862,44,73511,164865,566,86,4,2.33,24,0.56,0,1,0,0,0,1,1,0
29767,26,78940,119094,627,117,4,11.4,36,0.54,3,0,0,1,1,0,0,0
65323,32,110549,89154,520,110,4,24.31,24,0.66,2,3,0,1,0,2,1,0
153973,32,29815,130015,528,1,4,21.53,12,0.48,3,2,2,1,0,3,0,1
117291,43,44236,74159,786,95,3,10.76,48,0.36,1,2,1,0,0,0,0,0
175361,59,28301,108810,524,33,3,6.68,36,0.39,2,0,1,0,1,3,0,0
132657,30,58104,145388,449,118,1,23.68,12,0.64,0,2,0,0,1,4,1,0
70645,68,105572,244549,489,27,4,13.84,12,0.9,1,3,2,1,0,1,1,0
106092,49,92500,68622,439,113,4,20.72,60,0.56,2,0,1,0,0,4,1,0
65325,56,38102,74817,401,97,4,8.49,24,0.67,3,3,0,0,1,4,1,0
195893,66,97972,153562,666,112,2,16.98,60,0.8,3,3,0,0,1,2,0,0
74820,69,126838,221077,818,35,2,23.15,36,0.37,1,2,2,1,1,1,0,0
1150,49,133879,219533,841,33,2,8.82,48,0.3,0,2,0,1,1,1,0,0
242802,21,110519,245997,406,16,2,22.18,48,0.42,1,0,0,1,1,4,1,0
81290,47,116392,33750,508,88,2,23.3,48,0.26,0,0,0,0,1,3,0,0
237695,54,65186,159843,743,51,4,14.36,36,0.23,0,3,2,1,0,3,1,0
149425,40,78286,136444,580,6,2,19.22,24,0.51,3,0,0,1,1,4,1,0
16475,56,141454,142537,669,68,1,18.68,36,0.44,2,0,1,0,1,0,1,0
179896,62,25124,219669,749,14,3,5.46,60,0.48,1,1,2,0,0,0,0,0
53131,32,32363,126320,620,49,1,13.96,60,0.61,3,1,2,1,1,0,1,0
241053,60,72904,162983,536,88,1,8.4,48,0.37,3,3,2,0,0,3,1,0
183688,46,15192,152778,734,115,2,22.42,60,0.47,3,1,1,1,0,0,1,1
93785,53,30295,137613,375,108,3,10.78,60,0.15,1,1,2,0,1,2,1,0
228870,30,119334,147716,787,49,3,12.1,12,0.88,2,1,2,1,0,0,0,0
52287,49,134889,86160,592,40,1,13.22,60,0.32,2,0,1,0,1,3,0,0
128593,24,49119,123531,541,52,2,7.55,60,0.52,1,0,2,0,1,1,0,0
31001,68,142277,79391,316,39,4,13.76,48,0.88,0,1,1,1,0,2,0,0
92956,39,99269,232619,720,68,2,11.86,24,0.19,2,0,2,0,1,3,0,0
62437,45,107954,100080,609,18,4,16.02,48,0.29,1,0,2,0,1,3,1,1
62933,19,25678,134161,705,63,3,21.18,60,0.2,0,0,0,1,0,2,0,1
80114,59,17550,227024,795,69,1,4.52,24,0.22,0,2,1,0,0,1,1,0
149689,62,58724,92125,674,77,2,20.87,24,0.26,1,3,1,1,0,4,1,1
54525,23,83406,139957,424,109,2,11.49,60,0.72,2,3,0,0,0,3,1,0
31399,45,54095,34835,770,94,4,15.15,24,0.8,1,0,1,0,1,2,0,0
223418,45,148252,210244,695,8,4,15.1,48,0.34,3,0,2,1,1,3,1,0
53810,61,52904,223407,407,34,3,22.35,36,0.1,3,3,0,1,1,0,1,0
28332,61,96822,230960,611,101,1,21.22,12,0.73,2,3,1,0,0,3,0,0
33567,37,131836,22699,657,103,2,24.04,48,0.71,3,1,0,1,0,1,1,0
41948,47,37882,138883,398,59,2,7.92,36,0.69,3,2,2,1,1,3,0,0
186021,28,72464,129521,739,41,3,17.45,24,0.54,1,0,2,1,0,4,1,0
204525,45,15926,93334,777,76,1,5.95,48,0.12,3,1,1,1,0,3,0,0
5100,42,38024,106385,763,50,2,2.12,48,0.62,3,3,2,1,1,1,1,0
231203,56,145071,31141,480,8,1,5.42,36,0.19,1,3,1,0,1,0,1,0
124172,50,19296,91875,826,25,1,24.32,60,0.36,0,1,2,0,1,0,1,0
208532,18,146668,215629,517,31,4,5.24,12,0.77,1,0,1,0,1,4,0,0
107789,44,114043,198339,406,92,4,15.74,48,0.65,2,1,1,0,1,4,1,0
107587,69,19459,29148,726,31,4,5.27,24,0.66,1,3,1,1,1,4,0,0
94319,30,87178,85001,310,92,2,16.66,12,0.55,1,1,1,1,0,2,1,0
195637,58,94033,159468,815,72,4,18.74,48,0.33,0,0,0,1,0,3,0,0
231873,20,102312,17975,797,70,4,22.63,36,0.78,0,1,0,0,1,4,0,0
103513,56,107124,249352,317,24,4,18.13,60,0.86,1,0,0,0,0,2,0,1
74470,23,84774,120912,749,43,4,23.68,24,0.16,2,2,0,1,0,3,0,0
55429,25,127103,24296,626,46,4,20.05,48,0.32,0,2,1,0,0,2,1,0
59727,44,101997,151516,708,2,3,18.06,12,0.28,0,2,0,0,0,4,1,0
216388,26,47398,155340,334,88,3,15.39,36,0.75,3,0,1,0,1,4,0,1
193562,54,106956,87462,434,3,3,23.19,24,0.25,3,1,2,1,0,2,1,0
113579,50,59215,43116,381,69,4,6.84,36,0.2,0,0,0,0,0,3,0,0
121631,68,17751,152696,811,119,1,17.25,60,0.52,1,3,0,0,1,0,1,0
120057,59,135003,121490,552,15,2,2.36,36,0.67,2,1,1,0,1,4,0,0
149045,61,109471,10327,347,112,4,14.48,36,0.51,1,2,2,0,1,3,1,0
250099,41,93059,112026,413,31,1,18.55,24,0.45,3,3,2,1,1,1,0,0
207123,32,125786,239618,338,73,4,7.99,36,0.79,1,2,0,1,0,1,0,1
64858,49,51396,84501,760,10,4,15.88,24,0.17,3,2,2,0,0,0,1,0
55882,49,124296,120730,506,103,4,2.11,12,0.53,1,0,1,0,0,3,0,0
36715,41,62578,112054,740,53,4,21.07,36,0.6,3,3,2,0,0,3,1,0
157085,58,117968,156263,583,59,2,17.65,36,0.23,0,3,1,1,0,4,0,0
166689,69,86549,135912,721,114,3,2.77,36,0.52,3,1,0,0,1,1,0,0
161607,66,69939,193171,672,78,1,9.7,60,0.24,2,0,2,0,1,4,1,0
111896,66,142442,229406,464,60,1,23.12,24,0.41,0,0,1,1,1,4,1,0
47571,69,142700,25379,494,116,3,4.33,24,0.66,1,2,0,1,1,3,0,0
3831,29,38153,130923,470,68,2,4.67,48,0.38,1,0,2,1,1,4,1,0
217052,56,22082,61460,624,11,1,2.88,48,0.72,0,1,0,1,1,2,0,0
32678,19,91000,60224,730,50,3,11.66,60,0.59,2,0,1,1,1,1,0,0
200353,20,101465,179673,366,13,2,24.03,24,0.6,3,0,1,1,1,2,0,1
27697,66,100328,141500,831,94,3,13.95,36,0.56,3,2,0,0,1,2,1,0
207602,54,118126,211925,337,89,4,20.76,48,0.61,0,3,1,0,0,0,0,0
163038,66,99582,128774,671,75,4,15.25,48,0.18,1,2,1,0,1,2,0,0
125218,34,117943,231285,337,81,1,14.66,48,0.9,0,2,1,1,1,2,0,1
215872,66,70357,54481,610,54,2,6.22,24,0.49,0,2,1,0,1,4,1,0
132120,19,70339,168776,528,83,1,13.64,12,0.17,1,3,0,0,0,4,1,0
207884,19,67895,12136,308,108,2,8.46,36,0.72,3,2,0,0,0,2,0,0
201652,45,55996,174034,742,2,3,14.13,36,0.56,1,0,1,1,0,3,1,0
107737,40,45622,115010,716,82,4,9.58,12,0.37,0,3,0,0,1,2,0,0
167501,54,77280,194794,383,3,3,3.98,24,0.74,1,0,1,0,0,4,1,0
145910,49,30010,67612,550,5,3,12.41,48,0.84,0,1,1,1,1,1,0,0
127279,50,56946,6451,645,69,1,6.98,48,0.1,0,0,1,0,1,3,0,0
18128,18,139771,118684,401,89,4,5.43,36,0.13,3,1,0,1,1,0,1,0
125324,36,74307,66303,433,79,4,19.1,12,0.82,1,3,1,1,0,4,1,0
118604,19,97219,189133,663,40,2,15.05,48,0.14,0,2,2,0,1,1,0,0
18717,61,26051,196898,367,66,3,23.65,60,0.89,0,2,0,0,1,3,0,0
134073,43,65835,212489,650,90,1,3.88,12,0.22,0,2,0,0,1,4,0,0
50680,49,148568,110680,578,75,4,21.22,60,0.69,0,3,1,1,0,1,1,0
177691,23,117261,214837,596,65,1,4.1,48,0.33,3,0,1,0,0,2,1,0
98379,49,39184,142572,533,0,2,9.43,60,0.35,1,0,2,0,1,0,1,0
161996,21,90751,68033,419,106,2,8.73,36,0.39,2,2,2,0,0,0,1,0
21853,28,15223,101750,593,31,2,24.41,60,0.13,2,1,1,1,1,3,1,0
120935,34,75449,214723,466,9,4,13.31,24,0.61,3,3,2,0,0,4,0,1
208327,55,37451,43127,478,82,3,7.59,60,0.56,3,2,0,0,0,4,1,0
195219,41,87219,169189,401,103,1,17.73,60,0.73,3,0,0,0,1,1,1,0
204196,22,51990,119516,412,36,4,4.27,12,0.53,1,2,1,0,1,3,0,0
220656,69,97532,199859,375,56,1,11.31,12,0.54,3,0,0,0,0,4,0,0
35426,51,84734,188838,655,33,4,7.85,36,0.77,1,3,0,1,1,0,0,0
254118,23,74090,205698,571,39,3,16.93,36,0.62,0,1,2,0,1,3,1,1
173038,39,138971,140639,666,27,2,23.26,60,0.86,3,3,0,0,0,3,1,0
59384,28,85129,180135,809,62,4,10.89,12,0.7,0,0,2,1,1,0,1,0
213752,65,41931,5769,849,7,2,7.7,60,0.68,3,2,0,0,0,4,1,0
78611,33,140328,69711,826,49,2,23.01,48,0.75,1,3,1,0,1,0,0,0
248222,50,36135,185019,629,110,1,20.85,24,0.88,2,2,0,1,1,1,0,0
37010,26,19860,79822,788,92,3,14.71,36,0.43,2,3,1,1,1,3,1,0
8245,23,25382,143017,399,107,4,10.46,48,0.74,3,0,1,1,0,2,1,0
219791,33,132284,178353,317,49,3,2.16,24,0.58,1,1,0,0,1,2,0,0
219252,46,149269,112616,376,41,3,16.21,24,0.33,0,2,2,0,1,4,0,0
113308,20,18625,58127,643,84,4,12.12,60,0.55,0,3,1,1,0,4,0,1
31662,37,109407,141444,332,98,2,14.12,24,0.33,3,0,1,1,0,3,0,0
95300,53,112739,79572,475,44,1,21.33,48,0.13,0,1,2,1,1,3,1,0
139848,36,125253,99149,809,3,3,8.71,24,0.13,3,2,2,0,0,0,0,0
245759,43,135815,117606,382,50,2,12.82,12,0.5,0,1,2,1,1,3,1,0
700,20,109299,237498,720,101,3,23.51,48,0.63,1,1,0,1,0,4,1,0
247142,36,36766,238080,841,7,2,10.38,24,0.3,1,2,1,1,0,1,1,1
197432,37,110938,104428,352,66,1,12.9,24,0.84,1,2,0,0,0,4,1,0
33290,49,20550,195705,466,107,2,18.72,12,0.6,2,2,0,0,0,2,0,0
32379,24,99820,100491,328,39,3,11.46,24,0.64,3,3,2,1,0,1,1,0
217608,69,50325,194550,469,73,3,11.84,60,0.55,3,1,1,1,0,3,1,0
53483,58,90691,58855,614,119,2,14.19,36,0.61,2,1,1,0,1,4,1,0
223914,50,29876,203759,342,69,4,15.41,24,0.26,2,3,2,1,1,2,0,0
225139,57,120684,69420,642,96,1,5.6,48,0.17,3,2,1,0,0,3,1,0
217971,56,49119,138981,678,22,1,10.58,24,0.11,0,1,2,0,0,2,1,0
69261,35,127186,91246,806,75,2,6.69,24,0.73,2,2,0,1,0,1,0,0
188875,57,23764,78444,315,21,2,24.61,36,0.56,0,1,2,1,0,0,1,0
34036,18,148711,221638,477,16,2,19.44,24,0.9,2,0,1,1,1,2,0,0
229756,28,38051,210838,595,105,1,4.98,24,0.6,1,3,2,1,1,3,1,0
219607,45,146321,148088,304,106,2,18.69,24,0.5,3,1,1,1,0,2,0,1
54881,42,44991,63637,312,28,3,7.54,24,0.14,3,0,1,0,1,3,1,0
144915,67,27623,71510,680,91,2,17.82,24,0.67,3,0,1,1,0,1,0,0
43948,40,58540,127266,476,116,2,15.66,24,0.33,0,1,1,1,1,0,1,0
31710,48,51719,248465,339,23,3,9.41,60,0.46,2,3,1,0,0,1,0,0
79343,47,34638,136472,754,6,4,20.06,60,0.15,2,1,1,0,1,0,1,0
161849,59,49164,162916,530,18,1,15.52,60,0.57,0,2,2,1,1,2,0,0
218383,52,139946,184340,499,95,1,19.53,60,0.36,2,2,2,1,1,2,1,0
194959,24,83151,234323,324,64,1,9.38,12,0.21,2,0,0,0,0,0,0,0
86842,33,60484,116501,546,97,1,22.56,24,0.39,1,1,1,0,1,4,1,0
87587,43,56029,237121,518,29,4,22.24,36,0.38,2,1,0,0,0,4,1,0
26426,65,127576,205024,461,58,4,11.9,60,0.73,2,0,1,1,0,3,0,0
149897,69,16945,167105,396,30,4,5.78,60,0.87,3,0,1,1,0,0,0,0
4538,66,126029,11864,787,23,1,10.72,36,0.76,2,0,2,1,0,2,0,0
216991,19,92790,52133,815,14,3,14.88,24,0.11,3,2,1,0,0,2,1,0
111060,18,94495,194108,626,31,1,18.03,36,0.21,2,2,1,1,0,2,1,0
9234,65,60298,97181,399,20,1,4.21,24,0.32,3,1,2,0,0,1,1,0
243468,29,21718,150488,816,81,2,7.83,12,0.21,0,0,0,0,1,3,1,0
112004,22,17957,64185,659,3,3,24.28,60,0.3,3,3,2,0,0,0,1,0
10192,54,110964,63551,641,110,1,12.37,12,0.52,2,2,0,0,1,0,0,0
82475,49,22881,151191,823,118,3,12.17,48,0.48,0,0,2,0,0,0,1,0
249099,26,27633,130243,518,82,3,23.74,60,0.63,3,2,0,1,0,3,1,0
73206,58,122515,180859,698,45,3,3.4,48,0.33,0,0,2,1,0,4,0,0
36723,52,129391,222103,402,84,2,2.92,24,0.8,1,3,0,0,0,0,1,0
53262,36,118282,106919,718,112,1,13.88,24,0.4,3,2,1,1,1,2,0,0
108879,65,30370,170883,648,20,3,9.49,24,0.67,2,3,2,0,1,3,1,0
48936,33,100822,249620,592,17,4,7.93,60,0.69,1,2,1,1,0,2,1,0
34787,20,143978,42768,559,83,3,12.47,60,0.69,1,2,0,0,0,2,0,0
209627,37,98252,76613,586,119,1,21.6,60,0.74,2,0,2,0,0,2,0,0
56822,41,83488,73238,324,19,3,6.3,48,0.4,0,2,0,1,1,2,1,0
56334,50,90093,124701,331,33,2,4.39,48,0.47,3,2,0,0,0,3,0,0
97595,41,147188,136447,517,85,1,7.01,24,0.38,1,1,1,1,0,2,1,0
67618,69,109647,130258,644,17,2,8.12,60,0.5,2,1,2,0,0,0,0,0
208767,28,123690,163015,435,24,2,23.05,48,0.16,2,0,1,1,0,0,0,0
188037,66,93229,196998,677,5,1,13.72,36,0.63,0,2,1,0,0,1,1,0
235267,25,111552,46936,777,99,1,7.28,24,0.14,2,0,0,0,0,2,0,0
198951,53,133523,157184,569,38,4,19.32,12,0.1,3,0,0,0,1,0,1,0
188758,55,138123,129240,773,44,1,17.53,60,0.84,2,2,0,1,1,3,0,0
165724,57,50597,24961,399,70,4,24.8,36,0.34,2,0,0,0,1,3,1,0
189247,37,113145,74341,598,58,4,14.59,24,0.3,1,0,1,1,0,2,0,0
